city,state,rent_2022-07-31,rent_2022-08-31,rent_2022-09-30
"New York, NY",NY,3308,3327,3321
"Los Angeles, CA",CA,2999,3013,3019
"Chicago, IL",IL,1930,1939,1941
"Dallas, TX",TX,1866,1876,1875
"Houston, TX",TX,1619,1626,1627
"Washington, DC",VA,2288,2304,2309
"Miami, FL",FL,2896,2899,2912
"Philadelphia, PA",PA,1828,1840,1843
"Atlanta, GA",GA,1998,2015,2024
"Phoenix, AZ",AZ,1960,1957,1950
"Boston, MA",MA,2851,2876,2901
"San Francisco, CA",CA,3306,3310,3303
"Riverside, CA",CA,2642,2643,2647
"Detroit, MI",MI,1485,1489,1494
"Seattle, WA",WA,2367,2377,2368
"Minneapolis, MN",MN,1653,1653,1651
"San Diego, CA",CA,3146,3182,3191
"Tampa, FL",FL,2161,2163,2167
"Denver, CO",CO,2048,2049,2046
"St. Louis, MO",MO,1305,1314,1315
"Baltimore, MD",MD,1822,1821,1814
"Charlotte, NC",NC,1850,1860,1860
"Orlando, FL",FL,2099,2109,2102
"San Antonio, TX",TX,1526,1531,1532
"Portland, OR",OR,1966,1976,1979
"Sacramento, CA",CA,2339,2346,2341
"Las Vegas, NV",NV,1905,1892,1871
"Pittsburgh, PA",PA,1338,1352,1351
"Austin, TX",TX,1947,1953,1950
"Cincinnati, OH",OH,1462,1476,1479
"Kansas City, MO",MO,1381,1392,1399
"Columbus, OH",OH,1497,1507,1509
"Indianapolis, IN",IN,1507,1524,1530
"Cleveland, OH",OH,1371,1375,1368
"San Jose, CA",CA,3395,3424,3420
"Nashville, TN",TN,1910,1923,1923
"Virginia Beach, VA",VA,1652,1661,1673
"Providence, RI",RI,2024,1993,1968
"Jacksonville, FL",FL,1814,1820,1819
"Milwaukee, WI",WI,1258,1272,1279
"Oklahoma City, OK",OK,1358,1361,1373
"Raleigh, NC",NC,1805,1828,1835
"Memphis, TN",TN,1540,1540,1542
"Richmond, VA",VA,1640,1658,1668
"New Orleans, LA",LA,1570,1560,1547
"Louisville, KY",KY,1303,1314,1325
"Salt Lake City, UT",UT,1747,1751,1751
"Hartford, CT",CT,1703,1708,1721
"Buffalo, NY",NY,1280,1287,1291
"Birmingham, AL",AL,1380,1384,1389
"Grand Rapids, MI",MI,1514,1516,1528
"Rochester, NY",NY,1463,1480,1471
"Tucson, AZ",AZ,1640,1657,1659
"Tulsa, OK",OK,1325,1330,1318
"Fresno, CA",CA,1992,1990,2005
"Urban Honolulu, HI",HI,2690,2681,2685
"Omaha, NE",NE,1269,1276,1280
"Worcester, MA",MA,1936,1946,1942
"Bridgeport, CT",CT,2852,2855,2842
"Greenville, SC",SC,1555,1579,1583
"Albuquerque, NM",NM,1578,1581,1587
"Bakersfield, CA",CA,1818,1808,1787
"Albany, NY",NY,1424,1441,1441
"Knoxville, TN",TN,1823,1839,1851
"McAllen, TX",TX,1135,1117,1123
"Baton Rouge, LA",LA,1402,1411,1402
"North Port, FL",FL,2561,2536,2547
"New Haven, CT",CT,1937,1943,1961
"Columbia, SC",SC,1474,1474,1484
"Allentown, PA",PA,1835,1840,1835
"El Paso, TX",TX,1488,1486,1457
"Oxnard, CA",CA,3083,3076,3122
"Charleston, SC",SC,1910,1940,1960
"Cape Coral, FL",FL,2178,2178,2194
"Greensboro, NC",NC,1518,1520,1530
"Boise City, ID",ID,1887,1889,1872
"Stockton, CA",CA,2554,2552,2553
"Colorado Springs, CO",CO,1910,1911,2039
"Little Rock, AR",AR,1188,1193,1198
"Lakeland, FL",FL,1910,1916,1912
"Des Moines, IA",IA,1249,1256,1258
"Akron, OH",OH,1229,1240,1236
"Springfield, MA",MA,1534,1563,1556
"Ogden, UT",UT,1788,1790,1770
"Deltona, FL",FL,1969,1978,1982
"Winston, NC",NC,1647,1649,1671
"Madison, WI",WI,1400,1402,1399
"Provo, UT",UT,1787,1795,1815
"Durham, NC",NC,1724,1735,1735
"Syracuse, NY",NY,1467,1475,1484
"Wichita, KS",KS,990.,1000,1003
"Toledo, OH",OH,1316,1325,1312
"Augusta, GA",GA,1377,1388,1385
"Palm Bay, FL",FL,2004,2018,2017
"Jackson, MS",MS,1421,1431,1446
"Harrisburg, PA",PA,1367,1372,1379
"Spokane, WA",WA,1551,1548,1518
"Chattanooga, TN",TN,1612,1606,1607
"Scranton, PA",PA,1241,1273,1294
"Modesto, CA",CA,2115,2140,2131
"Fayetteville, AR",AR,1485,1508,1508
"Lansing, MI",MI,1216,1247,1257
"Lancaster, PA",PA,1262,1282,1276
"Portland, ME",ME,2231,2270,2278
"Youngstown, OH",OH,890.,905.,903.
"Fayetteville, NC",NC,1343,1359,1365
"Lexington, KY",KY,1324,1338,1340
"Myrtle Beach, SC",SC,1789,1842,1886
"Pensacola, FL",FL,1718,1739,1749
"Port St. Lucie, FL",FL,2397,2403,2436
"Santa Rosa, CA",CA,2727,2715,2726
"Lafayette, LA",LA,1253,1251,1241
"Huntsville, AL",AL,1561,1556,1542
"Reno, NV",NV,1960,1958,1938
"Springfield, MO",MO,1242,1232,1246
"Visalia, CA",CA,1845,1826,1807
"Killeen, TX",TX,1418,1426,1431
"Asheville, NC",NC,1895,1892,1903
"York, PA",PA,1358,1370,1362
"Vallejo, CA",CA,2544,2538,2534
"Santa Maria, CA",CA,4129,4182,4113
"Salem, OR",OR,1729,1748,1771
"Salinas, CA",CA,2630,2627,2643
"Corpus Christi, TX",TX,1401,1413,1406
"Mobile, AL",AL,1190,1205,1222
"Brownsville, TX",TX,1152,1173,1189
"Salisbury, MD",DE,1810,1770,1807
"Reading, PA",PA,1360,1372,1420
"Gulfport, MS",MS,1409,1448,1459
"Manchester, NH",NH,1945,1976,1996
"Fort Wayne, IN",IN,1179,1192,1201
"Flint, MI",MI,1227,1238,1214
"Anchorage, AK",AK,1790,1802,1803
"Peoria, IL",IL,1092,1070,1064
"Canton, OH",OH,944.,950.,960.
"Savannah, GA",GA,1775,1812,1831
"Naples, FL",FL,2965,2938,3040
"Shreveport, LA",LA,1103,1104,1092
"Beaumont, TX",TX,1120,1139,1141
"Tallahassee, FL",FL,1336,1373,1381
"Eugene, OR",OR,1864,1847,1818
"Davenport, IA",IL,911.,924.,934.
"Ocala, FL",FL,1666,1663,1670
"Montgomery, AL",AL,1207,1218,1224
"Hickory, NC",NC,1446,1448,1452
"Trenton, NJ",NJ,2340,2439,2442
"Ann Arbor, MI",MI,1996,2025,2035
"Fort Collins, CO",CO,1885,1901,1898
"Huntington, WV",OH,880.,884.,885.
"Lincoln, NE",NE,1214,1214,1202
"Rockford, IL",IL,1010,1024,1053
