name,num_of_good_days_2020,num_of_good_days_2021,num_of_good_days_2022
"Tucson, AZ",5,9,13
"Columbus, OH",68,68,56
"Baltimore, MA",34,63,46
"Kansas City, MO",69,69,46
"Louisville, KY",97,89,95
"Las Vegas, NV",2,2,3
"Sacramento, CA",26,29,116
"Atlanta, GA",101,107,105
"Seattle, WA",88,96,87
"Tulsa, OK",92,73,68
"Virginia Beach, VI",62,69,79
"Boston, MA",69,81,83
"Milwaukee, WI",97,89,78
"Houston, TX",80,53,38
"Mesa, AZ",16,9,7
"Nashville, TN",85,84,76
"San Francisco, CA",68,64,47
"Los Angeles, CA",45,70,128
"Arlington, TX",75,89,48
"Dallas, TX",92,53,18
"San Jose, CA",85,68,65
"El Paso, TX",14,16,28
"New Orleans, LO",77,62,82
"San Diego, CA",174,194,147
"Chicago, IL",85,104,86
"Detroit, MI",90,86,95
"Charlotte, NC",85,114,102
"Fort Worth, TX",68,76,46
"Minneapolis, MN",94,82,72
"Memphis, TN",58,69,68
"Albuquerque, NM",5,13,13
"New York, NY",80,81,54
"Oklahoma City, OK",57,40,38
"Omaha, NE",61,74,74
"Oakland, CA",121,108,99
"Tampa, FL",126,104,93
"Jacksonville, FL",65,82,81
"Miami, FL",121,129,94
"Fresno, CA",57,34,67
"Phoenix, AZ",15,9,6
"Indianapolis, IN",79,86,92
"Raleigh, NC",42,62,57
"Washington, D.C.",63,98,78
"Long Beach, CA",119,103,111
"Austin, TX",79,83,61
"Portland, OR",109,111,110
"San Antonio, TX",82,84,54
"Denver, CO",18,40,26
"Philadelphia, PA",51,74,59
"Colorado Springs, CO",24,44,22
