city,state,rent_2022-07-31,rent_2022-08-31,rent_2022-09-30,income,lat,lng
"New York, NY",NY,3308,3327,3321,69407,40.6943,-73.9249
"Los Angeles, CA",CA,2999,3013,3019,65290,34.1141,-118.4068
"Chicago, IL",IL,1930,1939,1941,62097,41.8375,-87.6866
"Dallas, TX",TX,1866,1876,1875,54747,32.7935,-96.7667
"Houston, TX",TX,1619,1626,1627,53600,29.7860,-95.3885
"Miami, FL",FL,2896,2899,2912,44268,25.7840,-80.2101
"Philadelphia, PA",PA,1828,1840,1843,49127,40.0077,-75.1339
"Atlanta, GA",GA,1998,2015,2024,64179,33.7628,-84.4220
"Phoenix, AZ",AZ,1960,1957,1950,60914,33.5722,-112.0892
"Boston, MA",MA,2851,2876,2901,76298,42.3188,-71.0852
"San Francisco, CA",CA,3306,3310,3303,119136,37.7558,-122.4449
"Detroit, MI",MI,1485,1489,1494,32498,42.3834,-83.1024
"Seattle, WA",WA,2367,2377,2368,97185,47.6211,-122.3244
"Minneapolis, MN",MN,1653,1653,1651,66068,44.9635,-93.2678
"San Diego, CA",CA,3146,3182,3191,83454,32.8313,-117.1222
"Tampa, FL",FL,2161,2163,2167,55634,27.9945,-82.4447
"Denver, CO",CO,2048,2049,2046,72661,39.7620,-104.8758
"Charlotte, NC",NC,1850,1860,1860,65359,35.2083,-80.8303
"San Antonio, TX",TX,1526,1531,1532,53420,29.4632,-98.5238
"Portland, OR",OR,1966,1976,1979,73159,45.5371,-122.6500
"Sacramento, CA",CA,2339,2346,2341,65847,38.5677,-121.4685
"Las Vegas, NV",NV,1905,1892,1871,58377,36.2333,-115.2654
"Austin, TX",TX,1947,1953,1950,75752,30.3005,-97.7522
"Kansas City, MO",MO,1381,1392,1399,56179,39.1238,-94.5541
"Columbus, OH",OH,1497,1507,1509,54902,39.9862,-82.9855
"Indianapolis, IN",IN,1507,1524,1530,50813,39.7771,-86.1458
"San Jose, CA",CA,3395,3424,3420,117324,37.3012,-121.8480
"Nashville, TN",TN,1910,1923,1923,62087,36.1715,-86.7842
"Jacksonville, FL",FL,1814,1820,1819,55531,30.3322,-81.6749
"Milwaukee, WI",WI,1258,1272,1279,43125,43.0642,-87.9675
"Oklahoma City, OK",OK,1358,1361,1373,56456,35.4676,-97.5136
"Raleigh, NC",NC,1805,1828,1835,69720,35.8324,-78.6429
"Memphis, TN",TN,1540,1540,1542,41864,35.1087,-89.9663
"Louisville, KY",KY,1303,1314,1325,60891,38.1663,-85.6485
"Tucson, AZ",AZ,1640,1657,1659,45227,32.1541,-110.8787
"Tulsa, OK",OK,1325,1330,1318,57024,36.1283,-95.9042
"Fresno, CA",CA,1992,1990,2005,53368,36.7830,-119.7939
"Omaha, NE",NE,1269,1276,1280,62213,41.2627,-96.0529
"Albuquerque, NM",NM,1578,1581,1587,53936,35.1054,-106.6465
"El Paso, TX",TX,1488,1486,1457,48866,31.8476,-106.4300
"Colorado Springs, CO",CO,1910,1911,2039,67719,38.8674,-104.7605
