rank,city,state,income,average_good_days,average_rent,lat,long,score
1,"Louisville\, KY",KY,60891,93,1314,38.1663,-85.6485,77.1479206751542
2,"Omaha\, NE",NE,62213,69,1275,41.2627,-96.0529,75.85798816568047
3,"Tulsa\, OK",OK,57024,77,1324,36.1283,-95.9042,67.50999655991642
4,"Seattle\, WA",WA,97185,90,2370,47.6211,-122.3244,66.89614174979303
5,"Portland\, OR",OR,73159,110,1973,45.5371,-122.6500,64.60621245394742
6,"Minneapolis\, MN",MN,66068,82,1652,44.9635,-93.2678,63.18943610144005
7,"San Diego\, CA",CA,83454,171,3173,32.8313,-117.1222,59.76192863141081
8,"Austin\, TX",TX,75752,74,1950,30.3005,-97.7522,59.246661119629586
9,"Kansas City\, MO",MO,56179,61,1390,39.1238,-94.5541,58.97717597400696
10,"Charlotte\, NC",NC,65359,100,1856,35.2083,-80.8303,58.90287021266725
11,"Oklahoma City\, OK",OK,56456,45,1364,35.4676,-97.5136,56.931654704972765
12,"Atlanta\, GA",GA,64179,104,2012,33.7628,-84.4220,53.91607892768923
13,"Milwaukee\, WI",WI,43125,88,1269,43.0642,-87.9675,53.859557535520445
14,"Raleigh\, NC",NC,69720,53,1822,35.8324,-78.6429,53.23593595982885
15,"Columbus\, OH",OH,54902,64,1504,39.9862,-82.9855,52.688069158299314
16,"Indianapolis\, IN",IN,50813,85,1520,39.7771,-86.1458,52.158723890251636
17,"San Antonio\, TX",TX,53420,73,1529,29.4632,-98.5238,52.016615148995115
18,"Chicago\, IL",IL,62097,91,1936,41.8375,-87.6866,51.155406826133664
19,"San Jose\, CA",CA,117324,72,3413,37.3012,-121.8480,50.77412934036377
20,"San Francisco\, CA",CA,119136,59,3306,37.7558,-122.4449,50.66798443582266
21,"Nashville\, TN",TN,62087,81,1918,36.1715,-86.7842,49.317702428702816
22,"Jacksonville\, FL",FL,55531,76,1817,30.3322,-81.6749,44.89854152663358
23,"Houston\, TX",TX,53600,57,1624,29.7860,-95.3885,44.771797277951734
24,"Tampa\, FL",FL,55634,107,2163,27.9945,-82.4447,43.57548363989096
25,"Denver\, CO",CO,72661,28,2047,39.7620,-104.8758,42.36477022888675
26,"Colorado Springs\, CO",CO,67719,30,1953,38.8674,-104.7605,41.367688658729094
27,"Boston\, MA",MA,76298,77,2876,42.3188,-71.0852,37.921124744542084
28,"Dallas\, TX",TX,54747,54,1872,32.7935,-96.7667,37.335957947043255
29,"Memphis\, TN",TN,41864,65,1540,35.1087,-89.9663,36.252988948458196
30,"Sacramento\, CA",CA,65847,57,2342,38.5677,-121.4685,36.02549399692624
31,"El Paso\, TX",TX,48866,19,1477,31.8476,-106.4300,35.92029837219363
32,"Albuquerque\, NM",NM,53936,10,1582,35.1054,-106.6465,35.5949784015024
33,"Philadelphia\, PA",PA,49127,61,1837,40.0077,-75.1339,34.516702089789334
34,"Detroit\, MI",MI,32498,90,1489,42.3834,-83.1024,32.583391868958444
35,"Fresno\, CA",CA,53368,52,1995,36.7830,-119.7939,32.400509923698735
36,"Phoenix\, AZ",AZ,60914,10,1955,33.5722,-112.0892,30.343675213212563
37,"Los Angeles\, CA",CA,65290,81,3010,34.1141,-118.4068,30.21286470482586
38,"Las Vegas\, NV",NV,58377,2,1889,36.2333,-115.2654,27.995082113570238
39,"Miami\, FL",FL,44268,114,2902,25.7840,-80.2101,26.50887573964497
40,"New York\, NY",NY,69407,71,3318,40.6943,-73.9249,26.463709305804393
41,"Tucson\, AZ",AZ,45227,9,1652,32.1541,-110.8787,23.343277190631245
